"Adresse : Ville","COLL_INSEE","ACCESSIBILITE _COMPTEUR","EMPLACEMENT_TYPE","FERMETURE_COMPTEUR","FERMETURE_DATE","TOURNEE_CODE","ANNEE_COMPTEUR","MARQUE_COMPTEUR","DIAMETRE_COMPTEUR","TYPE_COMPTEUR","POSE_DATE","Radio relève","ANCIEN_RELEVE_DATE","ANCIEN_INDEX","NOUVEAU_RELEVE-DATE","NOUVEAU_RELEVE","RELEVE_TYPE","CONSOMMATION","RELEVE_N-1_DATE","RELEVE_N-1","RELEVE_N-1_TYPE","CONSOMMATION","RELEVE_N-2_DATE","RELEVE_N-2","RELEVE_N-2_TYPE","CONSOMMATION","RELEVE_N-3_DATE","RELEVE_N-3","RELEVE_N-3_TYPE","CONSOMMATION_N-3","RELEVE_N-4_DATE","RELEVE_N-4","RELEVE_N-4_TYPE","CONSOMMATION_N-4","RELEVE_N-5_DATE","RELEVE_N-5","RELEVE_N-5_TYPE","CONSOMMATION_N-5","CONTRAT_ACTIF","OUVERTURE_CONTRAT_DATE","CLOTURE_CONTRAT_DATE"
"DIGNE LES BAINS","04070","Non","GARAGE","Non",,65,2011,"Sappel",15,"Altair",10/02/2012,"Oui",25/04/2018,79,26/10/2018,84,"R",5,25/04/2018,79,"R",5,27/10/2017,74,"R",6,27/04/2017,68,"R",6,24/10/2016,62,"R",6,13/04/2016,56,"R",7,"Oui",15/09/2011,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,30,2014,"Sappel",15,"Altair",03/07/2014,"Oui",12/09/2018,560,08/03/2019,629,"R",69,12/09/2018,560,"R",64,14/03/2018,496,"R",76,08/09/2017,420,"R",66,10/03/2017,354,"R",71,13/09/2016,283,"R",69,"Oui",15/07/2014,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,10,2015,"Sappel",15,"Altair",20/04/2016,"Oui",23/08/2018,220,18/02/2019,246,"R",26,23/08/2018,220,"R",28,14/02/2018,192,"R",11,01/02/2018,181,"R",0,12/10/2017,181,"U",18,21/08/2017,163,"R",70,"Oui",01/02/2018,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,30,2012,"Sappel",15,"Altair",04/04/2014,,18/09/2018,174,12/03/2019,197,"R",23,18/09/2018,174,"R",25,14/03/2018,149,"R",27,08/09/2017,122,"R",22,20/03/2017,100,"R",21,13/09/2016,79,"R",19,"Oui",12/05/2014,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,30,2018,"Sappel",15,"Altair",14/12/2018,"Oui",14/12/2018,0,08/03/2019,99998,"R",2,14/12/2018,0,"R",0,14/12/2018,417,"R",10,12/09/2018,407,"R",29,14/03/2018,378,"R",28,08/09/2017,350,"R",29,"Oui",01/05/2017,
"DIGNE LES BAINS","04070","Oui","REGARD","Oui",19/07/2018,70,2018,"Sappel",15,"Altair",19/07/2018,"Oui",19/07/2018,0,05/11/2018,36,"R",36,19/07/2018,0,,0,,,,,,,,,,,,,,,,,,,
"DIGNE LES BAINS","04070","Oui","REGARD","Oui",19/07/2018,70,2018,"Sappel",15,"Altair",19/07/2018,"Oui",19/07/2018,0,05/11/2018,0,"R",0,19/07/2018,0,,0,,,,,,,,,,,,,,,,,,,
"DIGNE LES BAINS","04070","Oui","REGARD","Oui",19/07/2018,70,2018,"Sappel",15,"Altair",19/07/2018,"Oui",19/07/2018,0,06/11/2018,0,"R",0,19/07/2018,0,,0,,,,,,,,,,,,,,,,,,,
"DIGNE LES BAINS","04070","Oui","REGARD","Oui",19/07/2018,70,2018,"Sappel",15,"Altair",19/07/2018,"Oui",19/07/2018,0,06/11/2018,0,"R",0,19/07/2018,0,,0,,,,,,,,,,,,,,,,,,,
"DIGNE LES BAINS","04070","Oui","REGARD","Oui",19/07/2018,70,2018,"Sappel",15,"Altair",19/07/2018,"Oui",19/07/2018,0,05/11/2018,0,"R",0,19/07/2018,0,,0,,,,,,,,,,,,,,,,,,,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,30,2015,"Sappel",15,"Altair",29/06/2015,"Oui",12/09/2018,80,08/03/2019,80,"R",0,12/09/2018,80,"R",0,14/03/2018,80,"R",0,08/09/2017,80,"R",0,10/03/2017,80,"R",0,13/09/2016,80,"R",0,"Oui",29/06/2015,
"DIGNE LES BAINS","04070","Oui","REGARD","Oui",04/05/2017,30,2015,"Sappel",15,"Altair",29/06/2015,"Oui",12/09/2018,227,08/03/2019,233,"R",6,12/09/2018,227,"R",0,14/03/2018,227,"R",0,08/09/2017,227,"R",0,30/04/2017,227,"U",1,10/03/2017,226,"R",15,,29/06/2015,30/04/2017
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,15,2016,"Sappel",15,"Altair",04/07/2016,"Oui",24/08/2018,74,22/02/2019,95,"R",21,24/08/2018,74,"R",21,22/02/2018,53,"R",22,25/08/2017,31,"R",13,02/03/2017,18,"R",12,31/08/2016,6,"R",6,"Oui",25/07/2010,
"DIGNE LES BAINS","04070","Non",,"Non",,60,2014,"Sappel",15,"Altair",01/12/2014,"Oui",17/04/2018,334,18/10/2018,374,"R",40,17/04/2018,334,"R",49,18/10/2017,285,"R",43,21/04/2017,242,"R",54,11/10/2016,188,"R",43,28/04/2016,145,"R",54,"Oui",22/12/2011,
"DIGNE LES BAINS","04070","Non",,"Non",,40,2016,"Sappel",15,"Altair",02/09/2016,"Oui",24/09/2018,224,18/03/2019,288,"R",64,24/09/2018,224,"R",44,19/03/2018,180,"R",59,21/09/2017,121,"R",52,28/03/2017,69,"R",64,21/09/2016,5,"R",5,"Oui",24/08/2011,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,50,2011,"Sappel",15,"Altair",30/09/2011,"Oui",29/03/2018,416,01/10/2018,436,"R",20,29/03/2018,416,"R",18,29/09/2017,398,"R",21,05/04/2017,377,"R",23,28/09/2016,354,"R",27,16/03/2016,327,"R",21,"Oui",01/07/2013,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,10,2011,"Sappel",15,"Altair",24/05/2011,"Oui",21/08/2018,168,19/02/2019,180,"R",12,21/08/2018,168,"R",18,16/02/2018,150,"R",12,17/08/2017,138,"R",11,15/02/2017,127,"R",12,22/08/2016,115,"R",8,"Oui",01/12/2010,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,20,2017,"Sappel",15,"Altair",30/06/2017,"Oui",31/08/2018,21,28/02/2019,28,"R",7,31/08/2018,21,"R",10,27/02/2018,11,"R",9,04/09/2017,2,"R",2,30/06/2017,0,"R",0,30/06/2017,390,"R",1,"Oui",29/06/2017,
"DIGNE LES BAINS","04070","Non","CAVE","Non",,20,2011,"Sappel",15,"Altair",02/03/2011,"Oui",03/09/2018,813,01/03/2019,813,"R",0,03/09/2018,813,"R",0,28/02/2018,813,"R",0,31/08/2017,813,"R",0,08/03/2017,813,"R",0,05/09/2016,813,"R",0,,05/10/2012,01/12/2015
"DIGNE LES BAINS","04070","Non",,"Non",,40,2015,"Sappel",15,"Altair",21/09/2015,"Oui",21/09/2018,149,15/03/2019,182,"R",33,21/09/2018,149,"R",31,19/03/2018,118,"R",33,20/09/2017,85,"R",22,28/03/2017,63,"R",24,20/09/2016,39,"R",18,"Oui",26/09/2015,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,70,2008,"Actaris",15,"Aquadis+",20/03/2008,,03/05/2018,1340,05/11/2018,1419,"R",79,03/05/2018,1340,"R",83,06/11/2017,1257,"R",119,09/05/2017,1138,"R",103,02/11/2016,1035,"R",100,19/04/2016,935,"R",95,"Oui",01/07/2011,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,75,2012,"Sappel",15,"Altair",11/07/2012,"Oui",04/07/2018,462,16/11/2018,485,"R",23,04/07/2018,462,"R",0,31/05/2018,462,"R",0,17/05/2018,462,"R",40,09/11/2017,422,"R",39,11/05/2017,383,"R",31,"Oui",04/07/2018,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,60,2015,"Sappel",15,"Altair",30/04/2015,"Oui",27/08/2018,124,18/10/2018,131,"R",7,27/08/2018,124,"U",0,21/08/2018,124,"U",2,17/04/2018,122,"R",1,27/03/2018,121,"R",0,02/03/2018,121,"R",9,"Oui",27/08/2018,
"DIGNE LES BAINS","04070","Non","PALIER","Non",,60,2016,"Sappel",15,"Altair",28/04/2016,"Oui",16/10/2018,34,03/12/2018,38,"U",4,16/10/2018,34,"R",19,13/04/2018,15,"R",12,11/12/2017,3,"U",0,16/10/2017,3,"R",1,25/04/2017,2,"R",0,,11/12/2017,03/12/2018
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,60,2017,"Sappel",15,"Altair",21/03/2018,"Oui",18/10/2018,18,15/11/2018,18,"R",0,18/10/2018,18,"R",0,14/09/2018,18,"R",15,17/04/2018,3,"R",3,21/03/2018,0,"R",0,21/03/2018,346,"R",0,"Oui",15/11/2018,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,20,2018,"Sappel",15,"Altair",25/10/2018,"Oui",25/10/2018,0,28/02/2019,7,"R",7,25/10/2018,0,"R",0,25/10/2018,421,"R",4,31/08/2018,417,"R",11,01/03/2018,406,"R",12,01/09/2017,394,"R",8,"Oui",28/04/2017,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,60,2017,"Sappel",15,"Altair",01/12/2017,"Oui",17/04/2018,19,15/10/2018,40,"R",21,17/04/2018,19,"R",19,01/12/2017,0,"R",0,01/12/2017,323,"R",5,19/10/2017,318,"R",19,25/04/2017,299,"R",23,"Oui",28/10/2016,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,20,2017,"Sappel",15,"Altair",28/06/2017,"Oui",31/08/2018,75,28/02/2019,104,"R",29,31/08/2018,75,"R",33,27/02/2018,42,"R",29,04/09/2017,13,"R",13,28/06/2017,0,"R",0,28/06/2017,638,"R",5,"Oui",22/05/2017,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,75,2008,"Actaris",15,"Aquadis+",11/08/2008,,17/05/2018,1213,13/11/2018,1282,"R",69,17/05/2018,1213,"R",71,08/11/2017,1142,"R",69,16/05/2017,1073,"R",87,10/11/2016,986,"R",90,11/05/2016,896,"R",102,"Oui",14/08/2012,
"DIGNE LES BAINS","04070","Non",,"Non",,25,2017,"Sappel",15,"Altair",08/06/2017,"Oui",06/09/2018,82,06/03/2019,113,"R",31,06/09/2018,82,"R",31,02/03/2018,51,"R",36,05/09/2017,15,"R",15,08/06/2017,0,"R",0,08/06/2017,672,"R",5,"Oui",03/05/2017,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,40,2016,"Sappel",15,"Altair",12/05/2016,"Oui",24/09/2018,269,18/03/2019,326,"R",57,24/09/2018,269,"R",62,20/03/2018,207,"R",61,21/09/2017,146,"R",56,29/03/2017,90,"R",52,21/09/2016,38,"R",38,"Oui",27/12/2013,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,60,2016,"Sappel",15,"Altair",14/02/2017,"Oui",13/04/2018,0,15/10/2018,0,"R",0,13/04/2018,0,"R",0,16/10/2017,0,"R",0,20/04/2017,0,"R",0,14/02/2017,0,"R",0,14/02/2017,106,"R",0,"Oui",25/03/2011,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,50,2015,"Sappel",15,"Altair",03/04/2015,"Oui",06/04/2018,110,02/10/2018,134,"R",24,06/04/2018,110,"R",20,04/10/2017,90,"R",24,11/04/2017,66,"R",21,03/10/2016,45,"R",13,25/04/2016,32,"R",15,"Oui",17/09/2011,
"DIGNE LES BAINS","04070","Non",,"Non",,25,2010,"Sappel",15,"Altair V4",26/05/2011,"Oui",11/12/2018,700,06/03/2019,722,"R",22,11/12/2018,700,"R",0,10/12/2018,700,"U",0,01/11/2018,700,"U",0,31/10/2018,700,"U",4,06/09/2018,696,"R",48,"Oui",11/12/2018,
"DIGNE LES BAINS","04070","Non",,"Non",,50,2012,"Sappel",15,"Altair",04/01/2013,"Oui",30/03/2018,286,02/10/2018,315,"R",29,30/03/2018,286,"R",27,06/10/2017,259,"R",29,05/04/2017,230,"R",28,28/09/2016,202,"R",29,16/03/2016,173,"R",25,"Oui",28/09/2011,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,60,2010,"Sappel",20,"Altair",22/04/2011,"Oui",17/04/2018,3057,18/10/2018,3256,"R",199,17/04/2018,3057,"R",226,19/10/2017,2831,"R",189,25/04/2017,2642,"R",242,10/10/2016,2400,"R",227,27/04/2016,2173,"R",201,"Oui",22/04/2011,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,60,2015,"Sappel",20,"Altair",27/06/2018,"Oui",27/06/2018,0,18/10/2018,2,"R",2,27/06/2018,0,"R",0,27/06/2018,10476,"R",0,31/05/2018,10476,"R",0,17/04/2018,10476,"R",3,24/10/2017,10473,"R",562,"Oui",22/04/2011,
"DIGNE LES BAINS","04070","Oui","REGARD","Oui",29/03/2013,65,2012,"Sappel",15,"Altair",29/03/2013,"Oui",29/10/2018,0,21/01/2019,1,"R",1,29/10/2018,0,"R",0,26/04/2018,0,"R",0,25/10/2017,0,"R",0,27/04/2017,0,"R",0,24/10/2016,0,"R",0,"Oui",21/01/2019,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,10,2011,"Sappel",15,"Altair",29/04/2011,"Oui",23/08/2018,1423,20/02/2019,1453,"R",30,23/08/2018,1423,"R",36,21/02/2018,1387,"R",32,22/08/2017,1355,"R",33,23/02/2017,1322,"R",25,23/08/2016,1297,"R",29,"Oui",28/04/2011,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,25,2011,"Sappel",15,"Altair",27/04/2011,,10/09/2018,762,06/03/2019,775,"R",13,10/09/2018,762,"R",10,07/03/2018,752,"R",9,06/09/2017,743,"R",37,10/03/2017,706,"R",10,09/09/2016,696,"R",9,"Oui",26/04/2011,
"DIGNE LES BAINS","04070","Non",,"Non",,55,2016,"Sappel",15,"Altair",26/09/2016,"Oui",10/04/2018,59,09/10/2018,90,"R",31,10/04/2018,59,"R",30,12/10/2017,29,"R",29,11/04/2017,0,"R",0,29/03/2017,0,"U",0,04/10/2016,0,"R",0,"Oui",29/03/2017,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,40,2017,"Sappel",15,"Altair",20/01/2018,"Oui",24/09/2018,43,18/03/2019,61,"R",18,24/09/2018,43,"R",35,20/03/2018,8,"R",8,20/01/2018,0,"R",0,20/01/2018,452,"R",24,21/09/2017,428,"R",40,"Oui",13/03/2012,
"DIGNE LES BAINS","04070","Non",,"Non",,25,2014,"Sappel",15,"Altair",23/12/2014,"Oui",06/09/2018,30,06/03/2019,37,"R",7,06/09/2018,30,"R",6,02/03/2018,24,"R",9,05/09/2017,15,"R",2,09/03/2017,13,"R",2,08/09/2016,11,"R",3,"Oui",11/12/2011,
"DIGNE LES BAINS","04070","Non","CAVE","Oui",02/05/2018,60,2013,"Sappel",15,"Altair",30/05/2013,"Oui",02/05/2018,204,18/10/2018,204,"R",0,02/05/2018,204,"R",0,17/04/2018,204,"R",1,18/10/2017,203,"R",6,21/04/2017,197,"R",31,11/10/2016,166,"R",9,,02/09/2009,
"DIGNE LES BAINS","04070","Non",,"Non",,55,2011,"Sappel",15,"Altair",09/06/2011,"Oui",01/09/2018,431,09/10/2018,435,"R",4,01/09/2018,431,"U",0,13/07/2018,431,"U",22,10/04/2018,409,"R",43,11/10/2017,366,"R",23,03/06/2017,343,"R",0,"Oui",01/09/2018,
"DIGNE LES BAINS","04070","Non","CAVE","Non",,55,2012,"Sappel",15,"Altair",10/06/2013,"Oui",10/04/2018,436,09/10/2018,453,"R",17,10/04/2018,436,"R",35,11/10/2017,401,"R",42,14/04/2017,359,"R",44,05/10/2016,315,"R",6,01/09/2016,309,"R",0,"Oui",01/09/2016,
"DIGNE LES BAINS","04070","Non","CAVE","Non",,55,2015,"Sappel",15,"Altair",23/09/2015,"Oui",26/05/2018,92,09/10/2018,93,"R",1,26/05/2018,92,"U",3,10/04/2018,89,"R",9,01/02/2018,80,"U",0,31/01/2018,80,"U",0,11/10/2017,80,"R",1,,02/09/2009,
"DIGNE LES BAINS","04070","Non",,"Non",,40,2013,"Sappel",15,"Altair",29/01/2014,"Oui",24/09/2018,318,18/03/2019,352,"R",34,24/09/2018,318,"R",37,20/03/2018,281,"R",33,21/09/2017,248,"R",30,29/03/2017,218,"R",36,21/09/2016,182,"R",38,"Oui",28/08/2012,
"DIGNE LES BAINS","04070","Non",,"Non",,15,2010,"Sappel",15,"Altair",28/03/2011,"Oui",28/08/2018,1064,25/02/2019,1137,"R",73,28/08/2018,1064,"R",76,23/02/2018,988,"R",71,28/08/2017,917,"R",80,28/02/2017,837,"R",68,01/09/2016,769,"R",71,"Oui",31/03/2011,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,55,2016,"Sappel",15,"Altair",10/05/2016,"Oui",12/10/2018,121,17/01/2019,128,"U",7,12/10/2018,121,"R",31,10/04/2018,90,"R",24,12/10/2017,66,"R",23,19/04/2017,43,"R",22,04/10/2016,21,"R",21,"Oui",01/04/2011,
"DIGNE LES BAINS","04070","Oui","PALIER","Oui",29/12/2016,40,2004,"Socam",15,610,08/09/2004,,24/09/2018,154,15/03/2019,154,"R",0,24/09/2018,154,"R",0,19/03/2018,154,"R",0,21/09/2017,154,"R",0,29/03/2017,154,"R",0,29/12/2016,154,"R",0,,02/09/2009,
"DIGNE LES BAINS","04070","Oui","PALIER","Oui",08/10/2018,60,2014,"Sappel",15,"Altair",10/12/2014,"Oui",09/10/2018,431,16/10/2018,431,"R",0,09/10/2018,431,"R",0,08/10/2018,431,"R",2,12/09/2018,429,"R",26,13/04/2018,403,"R",120,16/10/2017,283,"R",128,,01/07/2017,09/10/2018
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,60,2014,"Sappel",15,"Altair",10/12/2014,"Oui",13/04/2018,162,16/10/2018,186,"R",24,13/04/2018,162,"R",24,16/10/2017,138,"R",24,25/04/2017,114,"R",27,11/10/2016,87,"R",25,05/04/2016,62,"R",25,"Oui",08/04/2011,
"DIGNE LES BAINS","04070","Oui","PALIER","Oui",07/10/2014,60,2012,"Sappel",15,"Altair",04/09/2013,"Oui",13/04/2018,83,16/10/2018,83,"R",0,13/04/2018,83,"R",0,16/10/2017,83,"R",0,25/04/2017,83,"R",0,07/12/2016,83,"R",0,11/10/2016,83,"R",0,,02/09/2009,
"DIGNE LES BAINS","04070","Non","GARAGE","Non",,50,2005,"Kent",15,"KVM",18/01/2006,,05/04/2018,153,28/09/2018,153,"R",0,05/04/2018,153,"R",0,02/10/2017,153,"R",0,20/10/2015,153,"R",0,22/05/2015,153,"R",0,05/11/2014,153,"R",0,,02/09/2009,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,45,2018,"Sappel",15,"Altair",07/03/2019,"Oui",07/03/2019,0,26/03/2019,1,"R",1,07/03/2019,0,"R",0,07/03/2019,994,"R",5,18/01/2019,989,"R",0,17/01/2019,989,"R",1,27/09/2018,988,"R",1,"Oui",18/01/2019,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,65,2004,"Kent",15,"KVM",01/06/2004,,24/04/2018,822,25/10/2018,830,"R",8,24/04/2018,822,"R",0,26/10/2017,822,"R",6,02/05/2017,816,"R",12,15/11/2016,804,"R",0,14/11/2016,804,"R",1,"Oui",15/11/2016,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,65,2004,"Kent",15,"KVM",01/06/2004,,24/04/2018,433,25/10/2018,447,"R",14,24/04/2018,433,"R",12,26/10/2017,421,"R",16,02/05/2017,405,"R",13,20/10/2016,392,"R",17,14/04/2016,375,"R",13,"Oui",14/10/2014,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,50,2011,"Sappel",15,"Altair",30/11/2011,"Oui",04/04/2018,22,02/10/2018,22,"R",0,04/04/2018,22,"R",0,03/10/2017,22,"R",0,26/07/2017,22,"R",0,06/04/2017,22,"R",0,15/12/2016,22,"R",0,"Oui",26/07/2017,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,60,2016,"Sappel",15,"Altair",18/11/2016,"Oui",06/09/2018,63,19/10/2018,71,"R",8,06/09/2018,63,"R",0,05/09/2018,63,"U",11,17/04/2018,52,"R",30,17/10/2017,22,"R",8,28/09/2017,14,"U",0,"Oui",06/09/2018,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,40,2017,"Sappel",15,"Altair",11/10/2017,"Oui",21/10/2018,28,18/03/2019,44,"R",16,21/10/2018,28,"U",0,20/10/2018,28,"U",2,04/10/2018,26,"U",0,03/10/2018,26,"U",0,24/09/2018,26,"R",10,"Oui",21/10/2018,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,10,2008,"Sappel",15,"Altair",29/01/2008,"Oui",23/08/2018,718,21/02/2019,765,"R",47,23/08/2018,718,"R",69,19/02/2018,649,"R",53,23/08/2017,596,"R",70,17/02/2017,526,"R",48,24/08/2016,478,"R",41,"Oui",01/03/2012,
"DIGNE LES BAINS","04070","Non","CAVE","Non",,55,2015,"Sappel",15,"Altair",09/10/2015,"Oui",10/04/2018,290,09/10/2018,335,"R",45,10/04/2018,290,"R",44,13/10/2017,246,"R",41,13/04/2017,205,"R",58,05/10/2016,147,"R",80,25/03/2016,67,"R",67,"Oui",01/01/2012,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,10,2011,"Sappel",15,"Altair",06/01/2012,"Oui",23/08/2018,129,20/02/2019,138,"R",9,23/08/2018,129,"R",7,21/02/2018,122,"R",9,22/08/2017,113,"R",7,23/02/2017,106,"R",11,23/08/2016,95,"R",11,"Oui",09/01/2012,
"DIGNE LES BAINS","04070","Oui","REGARD","Oui",28/02/2019,10,2016,"Sappel",15,"Altair",31/05/2016,"Oui",19/02/2019,240,27/03/2019,240,"R",0,19/02/2019,240,"R",0,13/02/2019,240,"R",19,21/08/2018,221,"R",13,24/03/2018,208,"U",27,19/02/2018,181,"R",115,"Oui",27/03/2019,
"DIGNE LES BAINS","04070","Non",,"Non",,55,2012,"Sappel",15,"Altair",03/08/2012,"Oui",28/06/2018,303,10/10/2018,309,"R",6,28/06/2018,303,"U",0,12/04/2018,303,"R",0,22/12/2017,303,"U",11,12/10/2017,292,"R",43,11/04/2017,249,"R",39,"Oui",28/06/2018,
"DIGNE LES BAINS","04070","Non",,"Non",,40,2014,"Sappel",15,"Altair",30/07/2014,"Oui",24/09/2018,287,15/03/2019,315,"R",28,24/09/2018,287,"R",32,19/03/2018,255,"R",36,20/09/2017,219,"R",32,28/03/2017,187,"R",37,20/09/2016,150,"R",26,"Oui",27/07/2015,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,35,2013,"Sappel",15,"Altair",20/06/2013,"Oui",20/09/2018,110,13/03/2019,113,"R",3,20/09/2018,110,"R",14,15/03/2018,96,"R",12,13/09/2017,84,"R",10,22/03/2017,74,"R",10,15/09/2016,64,"R",12,"Oui",30/11/2012,
"DIGNE LES BAINS","04070","Oui","GARAGE","Non",,35,2015,"Sappel",15,"Altair",08/01/2016,"Oui",19/09/2018,311,13/03/2019,391,"R",80,19/09/2018,311,"R",69,14/03/2018,242,"R",84,14/09/2017,158,"R",78,01/06/2017,80,"U",0,12/05/2017,80,"R",7,"Oui",01/06/2017,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,60,2016,"Sappel",15,"Altair",14/11/2016,"Oui",13/04/2018,94,16/10/2018,131,"R",37,13/04/2018,94,"R",34,16/10/2017,60,"R",22,31/05/2017,38,"R",7,25/04/2017,31,"R",31,14/11/2016,0,"R",0,"Oui",12/04/2011,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,15,2014,"Sappel",15,"Altair",25/03/2015,"Oui",29/08/2018,156,26/02/2019,179,"R",23,29/08/2018,156,"R",24,26/02/2018,132,"R",25,28/08/2017,107,"R",21,01/03/2017,86,"R",22,30/08/2016,64,"R",23,"Oui",01/03/2015,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,65,2015,"Sappel",15,"Altair",16/07/2015,"Oui",23/04/2018,101,25/10/2018,124,"R",23,23/04/2018,101,"R",19,25/10/2017,82,"R",23,03/05/2017,59,"R",15,26/10/2016,44,"R",20,11/04/2016,24,"R",15,"Oui",22/04/2011,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,90,2014,"Sappel",40,"Altair",12/11/2015,"Oui",15/11/2018,4081,14/02/2019,4081,"R",0,15/11/2018,4081,"R",0,20/08/2018,4081,"R",0,15/05/2018,4081,"R",0,14/02/2018,4081,"R",0,14/11/2017,4081,"R",869,"Oui",20/04/2011,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,25,2016,"Sappel",15,"Altair",21/11/2016,"Oui",06/09/2018,79,06/03/2019,87,"R",8,06/09/2018,79,"R",28,02/03/2018,51,"R",19,05/09/2017,32,"R",20,09/03/2017,12,"R",12,21/11/2016,0,"R",0,"Oui",18/11/2016,
"DIGNE LES BAINS","04070","Non",,"Non",,40,2012,"Sappel",15,"Altair",21/01/2013,"Oui",24/09/2018,266,18/03/2019,299,"R",33,24/09/2018,266,"R",30,20/03/2018,236,"R",9,09/01/2018,227,"R",0,31/12/2017,227,"R",31,21/09/2017,196,"R",26,"Oui",17/01/2018,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,45,2012,"Sappel",15,"Altair",11/04/2013,"Oui",27/09/2018,394,26/03/2019,437,"R",43,27/09/2018,394,"R",40,27/03/2018,354,"R",46,27/09/2017,308,"R",43,03/04/2017,265,"R",0,31/03/2017,265,"U",0,"Oui",31/03/2017,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,30,2017,"Sappel",15,"Altair",25/09/2017,"Oui",12/09/2018,6,12/03/2019,33,"R",27,12/09/2018,6,"R",4,25/06/2018,2,"R",0,13/03/2018,2,"R",0,10/11/2017,2,"U",2,25/09/2017,0,"R",0,"Oui",25/06/2018,
"DIGNE LES BAINS","04070","Non","GARAGE","Non",,30,2010,"Sappel",15,"Altair",07/07/2010,"Oui",12/09/2018,181,12/03/2019,206,"R",25,12/09/2018,181,"R",23,24/03/2018,158,"R",0,15/03/2018,158,"R",0,13/03/2018,158,"R",35,08/09/2017,123,"R",9,"Oui",24/03/2018,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,35,2015,"Sappel",15,"Altair",20/09/2017,"Oui",14/03/2019,23,17/03/2019,23,"R",0,14/03/2019,23,"R",0,20/09/2018,23,"R",6,15/03/2018,17,"R",17,20/09/2017,0,"R",0,20/09/2017,289,"R",0,,15/07/2014,17/03/2019
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,60,2016,"Sappel",15,"Altair",10/10/2016,"Oui",17/04/2018,29,18/10/2018,37,"R",8,17/04/2018,29,"R",5,17/10/2017,24,"R",16,26/04/2017,8,"R",8,10/10/2016,0,"R",0,10/10/2016,187,"R",9,"Oui",10/01/2012,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,65,2006,"Actaris",15,"Aquadis+",18/08/2006,,24/04/2018,1006,24/10/2018,1037,"R",31,24/04/2018,1006,"R",38,26/10/2017,968,"R",41,02/05/2017,927,"R",56,20/10/2016,871,"R",40,12/04/2016,831,"R",59,"Oui",26/09/2011,
"DIGNE LES BAINS","04070","Oui","GARAGE","Non",,30,2014,"Sappel",15,"Altair",05/11/2014,"Oui",18/09/2018,473,08/03/2019,534,"R",61,18/09/2018,473,"R",66,07/03/2018,407,"R",65,07/09/2017,342,"R",62,10/03/2017,280,"R",66,12/09/2016,214,"R",49,"Oui",15/08/2013,
