"Adresse : Ville","COLL_INSEE","ACCESSIBILITE _COMPTEUR","EMPLACEMENT_TYPE","FERMETURE_COMPTEUR","FERMETURE_DATE","TOURNEE_CODE","ANNEE_COMPTEUR","MARQUE_COMPTEUR","DIAMETRE_COMPTEUR","TYPE_COMPTEUR","POSE_DATE","Radio relève","ANCIEN_RELEVE_DATE","ANCIEN_INDEX","NOUVEAU_RELEVE-DATE","NOUVEAU_RELEVE","RELEVE_TYPE","CONSOMMATION","RELEVE_N-1_DATE","RELEVE_N-1","RELEVE_N-1_TYPE","CONSOMMATION","RELEVE_N-2_DATE","RELEVE_N-2","RELEVE_N-2_TYPE","CONSOMMATION","RELEVE_N-3_DATE","RELEVE_N-3","RELEVE_N-3_TYPE","CONSOMMATION_N-3","RELEVE_N-4_DATE","RELEVE_N-4","RELEVE_N-4_TYPE","CONSOMMATION_N-4","RELEVE_N-5_DATE","RELEVE_N-5","RELEVE_N-5_TYPE","CONSOMMATION_N-5","CONTRAT_ACTIF","OUVERTURE_CONTRAT_DATE","CLOTURE_CONTRAT_DATE"
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,35,2011,"Sappel",15,"Altair",24/06/2011,"Oui",20/09/2018,351,13/03/2019,366,"R",15,20/09/2018,351,"R",35,15/03/2018,316,"R",7,13/09/2017,309,"R",31,22/03/2017,278,"R",12,15/09/2016,266,"R",28,"Oui",24/06/2011,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,10,2018,"Sappel",15,"Altair",08/11/2018,"Oui",08/11/2018,0,15/02/2019,16,"R",16,08/11/2018,0,"R",0,08/11/2018,2012,"R",25,23/08/2018,1987,"R",83,20/02/2018,1904,"R",35,08/11/2017,1869,"U",35,"Oui",09/11/2017,
"DIGNE LES BAINS","04070","Non","GARAGE","Non",,70,2014,"Sappel",15,"Altair",11/06/2014,"Oui",26/04/2018,408,05/11/2018,464,"R",56,26/04/2018,408,"R",50,02/11/2017,358,"R",65,04/05/2017,293,"R",62,28/10/2016,231,"R",90,12/02/2016,141,"R",54,"Oui",15/10/2014,
"DIGNE LES BAINS","04070","Non","CAVE","Non",,20,2017,"Sappel",15,"Altair",07/11/2017,"Oui",03/09/2018,0,01/03/2019,0,"R",0,03/09/2018,0,"R",0,28/02/2018,0,"R",0,07/11/2017,0,"R",0,07/11/2017,1930,"R",1,30/08/2017,1929,"E",0,"Oui",02/09/2009,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,10,2006,"Sappel",15,"Altair",13/06/2006,"Oui",08/10/2018,875,19/02/2019,897,"R",22,08/10/2018,875,"U",46,23/08/2018,829,"R",83,19/02/2018,746,"R",34,21/08/2017,712,"R",44,17/02/2017,668,"R",39,"Oui",01/07/2014,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,55,2017,"Sappel",15,"Altair",07/12/2017,"Oui",10/04/2018,25,09/10/2018,66,"R",41,10/04/2018,25,"R",25,07/12/2017,0,"R",0,07/12/2017,622,"R",0,06/12/2017,622,"U",0,07/10/2016,622,"R",0,"Oui",06/12/2017,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,10,2016,"Sappel",15,"Altair",09/04/2017,"Oui",23/08/2018,38,18/02/2019,62,"R",24,23/08/2018,38,"R",21,20/02/2018,17,"R",11,21/08/2017,6,"R",6,09/04/2017,0,"R",0,09/04/2017,3134,"R",0,"Oui",02/09/2009,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,35,2013,"Sappel",15,"Altair",20/06/2013,"Oui",20/09/2018,137,13/03/2019,159,"R",22,20/09/2018,137,"R",6,15/03/2018,131,"R",13,13/09/2017,118,"R",51,22/03/2017,67,"R",19,19/09/2016,48,"R",16,"Oui",02/09/2009,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,20,2011,"Sappel",15,"Altair",16/03/2011,"Oui",03/09/2018,1058,28/02/2019,1107,"R",49,03/09/2018,1058,"R",12,18/07/2018,1046,"R",0,17/07/2018,1046,"R",52,01/03/2018,994,"R",62,01/09/2017,932,"R",107,"Oui",18/07/2018,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,60,2014,"Sappel",15,"Altair",06/03/2015,"Oui",17/04/2018,165,16/10/2018,197,"R",32,17/04/2018,165,"R",42,18/10/2017,123,"R",36,21/04/2017,87,"R",52,10/10/2016,35,"R",34,28/04/2016,1,"R",2,"Oui",31/03/2016,
