perimetre;nature;date;heure;date_heure;consommation;prevision_j1;prevision_j;fioul;charbon;gaz;nucleaire;eolien;solaire;hydraulique;pompage;bioenergies;ech_physiques;taux_co2;ech_comm_angleterre;ech_comm_espagne;ech_comm_italie;ech_comm_suisse;ech_comm_allemagne_belgique;fioul_tac;fioul_cogen;fioul_autres;gaz_tac;gaz_cogen;gaz_ccg;gaz_autres;hydraulique_fil_eau_eclusee;hydraulique_lacs;hydraulique_step_turbinage;bioenergies_dechets;bioenergies_biomasse;bioenergies_biogaz
France;Données temps réel;2022-01-01;18:15;2022-01-01T18:15:00+01:00;52869;50100;51400;215;27;2574;42099;4566;219;11204;-28;886;-8893;28;;;;;;2;33;180;0;2290;284;1;6229;2727;2248;238;363;284
France;Données temps réel;2022-01-02;02:30;2022-01-02T02:30:00+01:00;47937;47700;48200;214;26;2895;38922;5436;0;6008;-3052;874;-3386;36;820;-3191;-2033;-3044;3902;1;33;180;0;2322;573;1;5642;366;0;236;357;284
France;Données temps réel;2022-01-02;02:45;2022-01-02T02:45:00+01:00;47200;47000;47400;215;26;2886;38515;5459;0;5958;-3072;879;-3666;37;;;;;;2;33;180;0;2319;567;1;5556;402;0;236;360;284
France;Données temps réel;2022-01-02;03:15;2022-01-02T03:15:00+01:00;45797;45900;46050;215;26;2899;36754;5522;0;5896;-3114;890;-3291;38;;;;;;2;33;180;0;2320;579;1;5543;353;0;245;362;284
France;Données temps réel;2022-01-02;03:30;2022-01-02T03:30:00+01:00;45261;45500;45500;214;23;2876;36414;5701;0;5882;-3137;882;-3594;38;534;-3098;-2033;-2700;3881;1;33;180;0;2320;556;1;5524;358;0;234;365;284
France;Données temps réel;2022-01-02;05:45;2022-01-02T05:45:00+01:00;44371;44850;44650;214;24;2860;36035;7269;0;5844;-3714;881;-5042;37;;;;;;1;33;180;0;2322;538;1;5401;443;0;232;365;284
France;Données temps réel;2022-01-02;06:15;2022-01-02T06:15:00+01:00;45203;45600;45050;214;25;2836;36054;7716;0;5920;-3480;878;-4960;37;;;;;;1;33;180;0;2323;514;1;5487;433;0;233;362;284
France;Données temps réel;2022-01-02;07:00;2022-01-02T07:00:00+01:00;45618;46400;45900;215;29;2815;36284;8420;0;5933;-3467;884;-5495;36;625;-3098;-2033;-3200;3770;2;33;180;0;2320;496;1;5468;465;0;234;361;284
France;Données temps réel;2022-01-02;09:30;2022-01-02T09:30:00+01:00;49899;50400;49900;215;30;2661;37699;9128;606;6205;-2371;875;-5149;32;786;-3283;-2033;-3200;1093;2;33;180;0;2320;342;1;5588;615;2;231;360;284
France;Données temps réel;2022-01-02;10:45;2022-01-02T10:45:00+01:00;52433;51850;52550;214;30;2648;38723;8972;1724;6493;-2025;875;-5221;31;;;;;;1;33;180;0;2319;329;1;5647;844;2;239;357;284
France;Données temps réel;2022-01-02;11:30;2022-01-02T11:30:00+01:00;53301;52800;53500;214;29;2650;39753;8792;2216;7593;-1883;884;-6947;29;-258;-3191;-1965;-3200;1164;1;33;180;0;2310;340;1;5845;948;800;241;362;284
France;Données temps réel;2022-01-02;12:15;2022-01-02T12:15:00+01:00;55445;54300;55500;215;25;2632;40356;9090;2426;7691;-2019;882;-5853;29;;;;;;2;33;180;0;2299;333;1;5855;788;1048;237;361;284
France;Données temps réel;2022-01-02;20:00;2022-01-02T20:00:00+01:00;56800;56500;57200;215;32;2628;42408;12125;0;7922;-402;881;-9009;27;-537;-2900;-2434;-3200;1702;2;33;180;0;2321;308;1;5928;1435;559;234;360;284
France;Données temps réel;2022-01-02;20:15;2022-01-02T20:15:00+01:00;56242;55700;56500;214;32;2638;42314;12184;0;7221;-1130;881;-8112;27;;;;;;1;33;180;0;2318;320;1;5729;997;495;236;362;284
France;Données temps réel;2022-01-02;21:15;2022-01-02T21:15:00+01:00;54215;53000;54050;215;32;2593;41267;11985;0;6385;-2575;875;-6562;29;;;;;;2;33;180;0;2321;273;1;5527;858;0;229;361;284
France;Données temps réel;2022-01-02;23:00;2022-01-02T23:00:00+01:00;54216;54600;55000;215;33;2636;40440;11037;0;6417;-3226;885;-4221;30;999;-2900;-2649;-3194;4814;2;33;180;0;2327;309;1;5774;643;0;240;360;284
France;Données temps réel;2022-01-03;00:30;2022-01-03T00:30:00+01:00;51933;52400;52200;214;26;2624;37936;10417;0;6326;-2283;876;-4203;31;1000;-2960;-2358;-3200;3968;1;33;180;0;2316;309;1;5678;648;0;238;363;284
France;Données temps réel;2022-01-03;09:45;2022-01-03T09:45:00+01:00;63982;64850;63700;215;44;3515;43700;8349;924;8999;0;858;-2622;32;;;;;;2;33;180;0;2499;1017;1;6083;1634;1282;212;359;284
France;Données temps réel;2022-01-03;10:30;2022-01-03T10:30:00+01:00;63697;65000;63600;215;45;3534;43671;8406;1725;8305;-8;852;-3048;32;990;-3607;-3150;-3200;6131;2;33;180;0;2495;1039;1;5805;1551;949;213;358;284
France;Données temps réel;2022-01-03;15:00;2022-01-03T15:00:00+01:00;60557;60800;60400;215;67;3502;44480;9003;2063;8004;-37;859;-7599;32;-900;-3570;-3150;-3200;3288;2;33;180;0;2465;1037;1;5628;1102;1274;220;355;284
France;Données temps réel;2022-01-03;17:00;2022-01-03T17:00:00+01:00;60389;60200;60600;215;45;3770;44570;7939;292;8563;0;875;-5880;34;-1884;-2470;-2747;-3117;5851;2;33;180;0;2468;1303;1;5821;1200;1542;225;366;284
France;Données temps réel;2022-01-03;17:15;2022-01-03T17:15:00+01:00;61617;61500;61650;215;45;3526;44532;8064;249;8278;0;893;-4185;33;;;;;;2;33;180;0;2471;1056;1;5978;1219;1081;244;363;284
France;Données temps réel;2022-01-03;21:30;2022-01-03T21:30:00+01:00;58296;57000;58480;215;44;3311;44593;6975;0;8557;-108;837;-6128;32;-2009;-3294;-3150;-3200;6028;2;33;180;0;2495;816;1;5707;1086;1764;200;351;284
France;Données temps réel;2022-01-04;00:00;2022-01-04T00:00:00+01:00;57325;57100;57400;213;50;3110;43817;7180;0;7426;-1370;839;-3940;32;-1531;-705;-3205;-3190;6218;0;33;180;0;2452;658;1;5750;1022;654;202;358;284
France;Données temps réel;2022-01-04;00:30;2022-01-04T00:30:00+01:00;55363;55200;55600;214;46;2652;43497;7251;0;6837;-2088;839;-3885;30;-1531;-705;-3205;-3190;6218;1;33;180;0;2437;215;1;5657;847;333;203;358;284
France;Données temps réel;2022-01-04;02:00;2022-01-04T02:00:00+01:00;52790;53300;53700;215;41;2554;43052;7275;0;6848;-3046;845;-4994;30;-1140;-295;-3010;-3062;1454;2;33;180;0;2437;117;1;5512;1330;6;203;357;284
France;Données temps réel;2022-01-04;04:30;2022-01-04T04:30:00+01:00;49162;48400;49200;215;46;2674;43493;6887;0;6056;-3084;845;-7970;31;-1161;-1078;-2527;-3129;-695;2;33;180;0;2438;236;1;5276;780;0;205;356;284
France;Données temps réel;2022-01-04;05:00;2022-01-04T05:00:00+01:00;49873;48600;50100;215;42;2820;44069;6787;0;6086;-2914;836;-8068;32;-466;638;-2833;-3111;-662;2;33;180;0;2436;385;1;5231;855;0;204;361;284
France;Données temps réel;2022-01-04;05:30;2022-01-04T05:30:00+01:00;51174;50200;51400;215;40;3012;44315;6658;0;6291;-3352;848;-6853;33;-466;638;-2833;-3111;-1272;2;33;180;0;2435;578;1;5283;884;124;203;359;284
France;Données temps réel;2022-01-04;07:30;2022-01-04T07:30:00+01:00;62672;62100;62800;215;43;5298;44579;6224;0;9454;-20;840;-3961;43;-751;2397;-2435;-3107;-240;2;33;180;0;2490;2809;1;5943;1452;2059;200;355;284
France;Données temps réel;2022-01-04;12:00;2022-01-04T12:00:00+01:00;67657;65800;67600;214;43;7011;46127;4596;1666;11221;-20;818;-4019;51;-1563;2590;-1335;-2833;388;1;33;180;0;2506;4506;1;6430;1989;2802;191;338;284
France;Données temps réel;2022-01-04;12:30;2022-01-04T12:30:00+01:00;68076;64900;68000;215;44;6998;46097;4575;1825;10215;-20;825;-2698;51;-1563;2590;-1335;-2836;638;2;33;180;0;2500;4498;1;6214;1793;2208;193;350;284
France;Données temps réel;2022-01-04;20:15;2022-01-04T20:15:00+01:00;65947;66450;65800;215;558;5416;45233;8429;0;7714;-20;820;-2418;50;;;;;;2;33;180;0;2556;2860;1;5775;1143;796;200;336;284
France;Données temps réel;2022-01-05;01:15;2022-01-05T01:15:00+01:00;57432;57800;57550;215;414;2521;44495;7783;0;6315;-3089;817;-2039;35;;;;;;2;33;180;0;2476;46;1;5774;541;0;195;339;284
France;Données temps réel;2022-01-05;02:00;2022-01-05T02:00:00+01:00;56960;57800;58200;215;400;2543;44110;7327;0;6339;-3145;814;-1643;35;-1566;-399;-1994;-3032;4066;2;33;180;0;2478;65;1;5729;610;0;193;339;284
France;Données temps réel;2022-01-05;08:45;2022-01-05T08:45:00+01:00;73070;72600;73150;214;662;5254;45911;5767;260;9843;-20;836;4343;51;;;;;;2;33;179;0;2578;2677;1;6184;1963;1696;211;340;284
France;Données temps réel;2022-01-05;10:45;2022-01-05T10:45:00+01:00;73361;72550;73250;623;634;5148;45886;4882;2772;9097;-77;821;3575;53;;;;;;410;33;180;0;2582;2567;1;6137;1922;1038;199;341;284
France;Données temps réel;2022-01-05;11:15;2022-01-05T11:15:00+01:00;73290;72600;73150;633;639;5369;45944;4669;3365;9848;-20;829;2014;54;;;;;;420;33;180;0;2574;2795;1;6171;2292;1385;197;348;284
France;Données temps réel;2022-01-05;13:00;2022-01-05T13:00:00+01:00;73235;73800;74500;511;574;5215;46097;5027;4469;9336;-20;830;1196;50;-1834;2960;-3159;-2541;5225;298;33;180;0;2564;2651;1;6551;1888;897;205;342;284
France;Données temps réel;2022-01-05;14:15;2022-01-05T14:15:00+01:00;70455;70850;70200;214;611;5585;46081;4893;3736;8040;-189;836;648;51;;;;;;1;33;180;0;2541;3045;1;6230;1414;396;203;350;284
France;Données temps réel;2022-01-05;14:45;2022-01-05T14:45:00+01:00;69099;69650;69100;215;613;5563;46072;4765;3345;7860;-187;837;16;52;;;;;;2;33;180;0;2527;3037;1;6099;1389;372;202;344;284
France;Données temps réel;2022-01-05;15:45;2022-01-05T15:45:00+01:00;68042;67600;67700;215;638;6354;46149;4372;1765;8317;-20;834;-582;57;;;;;;2;33;180;0;2548;3806;1;6093;1409;815;203;344;284
France;Données temps réel;2022-01-05;17:45;2022-01-05T17:45:00+01:00;73563;72250;72250;214;649;7037;46647;3381;187;11056;-20;825;3587;61;;;;;;1;33;180;0;2568;4469;1;6667;2328;2061;200;341;284
France;Données temps réel;2022-01-05;20:00;2022-01-05T20:00:00+01:00;75087;74100;74200;273;660;6837;46639;3786;0;11585;-20;834;4493;60;-2014;1158;-1761;-1132;7090;60;33;180;0;2587;4251;1;6916;2875;1794;200;346;284
France;Données temps réel;2022-01-06;01:15;2022-01-06T01:15:00+01:00;64505;64400;64950;214;615;3872;46119;3431;0;6669;-1487;847;4225;47;;;;;;1;33;180;0;2578;1294;1;5932;643;94;224;339;284
France;Données temps réel;2022-01-06;01:30;2022-01-06T01:30:00+01:00;64200;64800;65200;214;564;3804;45868;3378;0;6600;-1489;838;4423;46;-2013;-660;1160;-1028;6965;1;33;180;0;2579;1225;1;5906;607;87;221;342;284
France;Données temps réel;2022-01-06;03:45;2022-01-06T03:45:00+01:00;61180;60900;61400;213;931;3766;45912;2646;0;6152;-3331;851;4040;54;;;;;;0;33;180;0;2582;1184;1;5765;387;0;226;344;284
France;Données temps réel;2022-01-06;11:00;2022-01-06T11:00:00+01:00;77947;78400;78000;514;1248;6661;47420;2072;3671;8095;-77;859;7484;70;-1183;2821;-1044;-412;7080;301;33;180;0;2511;4151;1;6316;1448;331;237;333;284
France;Données temps réel;2022-01-06;13:15;2022-01-06T13:15:00+01:00;75812;76900;76400;214;1248;6151;47887;2300;5049;9119;-20;832;3032;61;;;;;;1;33;180;0;2478;3673;1;6417;1779;923;226;327;284
France;Données temps réel;2022-01-06;15:30;2022-01-06T15:30:00+01:00;70707;71500;70600;214;749;6495;47889;2921;2634;7907;-20;848;1070;59;-852;2043;-37;-2246;1892;1;33;180;0;2514;3982;1;6150;1276;481;236;333;284
France;Données temps réel;2022-01-06;16:15;2022-01-06T16:15:00+01:00;70615;70800;70350;215;743;6541;47918;2999;1232;8542;-20;857;1588;60;;;;;;2;33;180;0;2513;4029;1;6336;1663;543;236;333;284
France;Données temps réel;2022-01-06;18:00;2022-01-06T18:00:00+01:00;76887;76600;76400;487;1205;7381;47975;4181;195;10597;-20;846;4040;71;-593;2146;-819;-1051;6052;274;33;180;0;2531;4850;1;6556;2053;1988;240;333;284
France;Données temps réel;2022-01-06;18:45;2022-01-06T18:45:00+01:00;78734;79450;79250;511;1244;7153;48026;4947;0;10955;-20;853;5065;69;;;;;;298;33;180;0;2564;4589;1;6790;2289;1876;233;336;284
France;Données temps réel;2022-01-06;19:15;2022-01-06T19:15:00+01:00;78886;79700;79500;296;1248;7302;48058;5537;0;11682;-20;846;3937;67;;;;;;83;33;180;0;2565;4737;1;6757;2296;2629;233;332;284
France;Données temps réel;2022-01-06;20:00;2022-01-06T20:00:00+01:00;76647;77000;76800;274;1076;7128;48090;6130;0;10019;-20;853;3097;65;-881;-390;-1696;-2073;7095;61;33;180;0;2643;4486;1;6711;1811;1497;233;337;284
France;Données temps réel;2022-01-06;20:15;2022-01-06T20:15:00+01:00;75656;75750;75550;214;1156;7262;48064;6247;0;9802;-20;850;2081;66;;;;;;1;33;180;0;2633;4629;1;6509;1936;1357;231;336;284
France;Données temps réel;2022-01-06;21:00;2022-01-06T21:00:00+01:00;72136;72300;72100;215;1116;6861;48126;6494;0;7950;-20;847;547;65;-1412;-2412;-2134;-2194;7445;2;33;180;0;2637;4225;1;6369;1221;360;225;337;284
France;Données temps réel;2022-01-06;22:00;2022-01-06T22:00:00+01:00;69076;68900;68700;213;1161;5835;48058;7184;0;7431;-651;860;-1015;60;-1185;-2189;-2533;-2067;7480;0;33;180;0;2640;3195;1;6061;978;392;235;337;284
France;Données temps réel;2022-01-06;23:15;2022-01-06T23:15:00+01:00;69978;71800;71700;215;1204;5580;47801;7905;0;7112;-750;842;69;59;;;;;;2;33;180;0;2635;2946;1;5711;986;415;223;337;284
France;Données temps réel;2022-01-07;00:15;2022-01-07T00:15:00+01:00;68847;69200;68150;214;1232;5392;47991;8288;0;6814;-940;846;-990;59;;;;;;2;32;180;0;2607;2785;1;5682;785;347;227;335;284
France;Données temps réel;2022-01-07;02:30;2022-01-07T02:30:00+01:00;64497;64900;64700;210;988;3597;46877;8576;0;6127;-1547;848;-1179;47;-1133;240;-1769;-3148;4581;0;32;180;0;2564;1034;1;5634;493;0;230;337;284
France;Données temps réel;2022-01-07;02:45;2022-01-07T02:45:00+01:00;63846;64150;64000;210;841;3424;47055;8658;0;6212;-1554;839;-1839;44;;;;;;0;32;180;0;2564;860;1;5644;568;0;229;332;284
France;Données temps réel;2022-01-07;03:00;2022-01-07T03:00:00+01:00;63094;63400;63300;210;734;3333;47113;8707;0;6030;-2238;855;-1650;42;-602;-1967;-1720;-2956;5242;0;32;180;0;2561;773;1;5655;374;1;239;335;284
France;Données temps réel;2022-01-07;03:15;2022-01-07T03:15:00+01:00;62994;63100;62950;210;724;3600;47699;8722;0;5843;-2690;851;-1965;44;;;;;;0;32;180;0;2562;1038;1;5634;209;0;231;337;284
France;Données temps réel;2022-01-07;03:30;2022-01-07T03:30:00+01:00;62410;62800;62600;210;715;3599;47181;8776;0;5839;-2691;863;-2082;44;-602;-1967;-1720;-2956;5242;0;32;180;0;2563;1037;1;5614;225;0;241;338;284
France;Données temps réel;2022-01-07;04:30;2022-01-07T04:30:00+01:00;61714;61900;61900;210;728;3644;47961;8623;0;5753;-3621;859;-2443;45;-821;-2180;-1744;-3137;5172;0;32;180;0;2563;1082;1;5549;204;0;242;333;284
France;Données temps réel;2022-01-07;05:00;2022-01-07T05:00:00+01:00;62209;62800;61700;210;731;3665;48064;8563;0;5806;-3497;852;-2185;45;-150;-670;-2221;-2824;4065;0;32;180;0;2563;1103;1;5536;270;0;237;336;284
France;Données temps réel;2022-01-07;06:30;2022-01-07T06:30:00+01:00;69347;70300;69500;213;1204;4752;47676;8241;0;6646;-543;846;312;55;324;0;-2686;-2167;4846;1;32;180;0;2622;2130;1;5665;980;1;230;333;284
France;Données temps réel;2022-01-07;11:45;2022-01-07T11:45:00+01:00;77022;77400;77200;214;1244;5990;48318;8086;3107;9921;-68;862;-652;57;;;;;;2;32;180;0;2626;3364;1;6267;2443;1211;233;340;284
France;Données temps réel;2022-01-07;12:45;2022-01-07T12:45:00+01:00;76915;77350;77050;214;1246;6325;48282;8518;3460;8897;-20;853;-860;58;;;;;;2;32;180;0;2611;3714;1;6289;1973;635;231;340;284
France;Données temps réel;2022-01-07;13:15;2022-01-07T13:15:00+01:00;75618;76600;76250;214;1202;6177;48301;9049;3481;8731;-20;851;-2368;57;;;;;;2;32;180;0;2596;3581;1;6217;1898;616;230;335;284
France;Données temps réel;2022-01-07;15:00;2022-01-07T15:00:00+01:00;70811;71800;71500;213;736;6112;46865;9496;2358;9106;-561;860;-4374;52;-1964;1817;-2701;-3200;2283;1;32;180;0;2584;3529;1;5844;1866;1396;229;354;284
France;Données temps réel;2022-01-07;16:30;2022-01-07T16:30:00+01:00;70295;69500;69900;214;837;6383;46887;8893;678;9648;-20;875;-4100;56;-2014;2323;-2247;-3140;1013;2;32;180;0;2589;3794;1;6289;2226;1133;238;352;284
France;Données temps réel;2022-01-07;16:45;2022-01-07T16:45:00+01:00;70604;70000;70350;213;964;6486;46900;8802;472;10001;-21;880;-4093;58;;;;;;1;32;180;0;2596;3890;1;6364;2420;1217;238;352;284
France;Données temps réel;2022-01-07;18:00;2022-01-07T18:00:00+01:00;75000;75100;75200;212;1246;6704;46304;8865;194;13751;-20;862;-3118;60;-2014;840;-2908;-2972;5211;0;32;180;0;2601;4104;1;6696;3210;3845;235;352;284
France;Données temps réel;2022-01-07;18:30;2022-01-07T18:30:00+01:00;75478;75900;76000;214;1251;6528;45844;9192;0;13912;-20;869;-2312;59;-2014;840;-2908;-2972;5358;2;32;180;0;2604;3924;1;6829;3671;3412;237;349;284
France;Données temps réel;2022-01-07;18:45;2022-01-07T18:45:00+01:00;75940;76300;76350;214;1251;6661;45838;8943;0;14233;-20;877;-2057;60;;;;;;2;32;180;0;2605;4056;1;6882;3873;3478;236;353;284
France;Données temps réel;2022-01-07;20:15;2022-01-07T20:15:00+01:00;72872;73050;72800;214;1247;6639;45554;8580;0;12691;-20;881;-2914;62;;;;;;2;32;180;0;2591;4049;1;6595;3359;2737;240;358;284
France;Données temps réel;2022-01-07;20:30;2022-01-07T20:30:00+01:00;71659;71700;71400;214;1245;6551;45551;8624;0;11483;-20;876;-2865;62;-2014;-1806;-3150;-3200;7433;2;32;180;0;2592;3960;1;6516;3079;1888;239;355;284
France;Données temps réel;2022-01-07;23:15;2022-01-07T23:15:00+01:00;68042;70100;69350;213;1147;5935;45285;8832;0;9230;-71;873;-3402;60;;;;;;1;32;180;0;2591;3345;1;6022;2390;818;237;357;284
France;Données temps réel;2022-01-08;00:00;2022-01-08T00:00:00+01:00;66371;68000;66600;212;1123;4750;45129;8836;0;8212;-77;880;-2694;54;-2013;-2089;-3060;-3199;6421;0;32;180;0;2584;2167;1;5963;1976;273;240;364;284
France;Données temps réel;2022-01-08;02:45;2022-01-08T02:45:00+01:00;60214;60950;60300;213;1181;3506;44850;7220;0;6706;-2155;879;-2186;52;;;;;;2;31;180;0;2542;964;1;5617;1088;1;242;357;284
France;Données temps réel;2022-01-08;03:00;2022-01-08T03:00:00+01:00;59409;60200;59600;213;1149;3432;45142;6775;0;6576;-2790;881;-1969;52;-1916;-2040;-2482;-3200;7026;2;31;180;0;2546;887;1;5621;953;2;238;357;284
France;Données temps réel;2022-01-08;04:45;2022-01-08T04:45:00+01:00;56872;57650;57100;213;729;3456;45158;5199;0;6058;-2331;882;-2492;47;;;;;;2;31;180;0;2539;917;1;5392;666;0;243;355;284
France;Données temps réel;2022-01-08;06:45;2022-01-08T06:45:00+01:00;59921;61350;60050;213;1105;3226;45318;5419;0;6818;-2285;897;-790;51;;;;;;2;31;180;0;2539;687;1;5727;1091;0;244;363;284
France;Données temps réel;2022-01-08;08:30;2022-01-08T08:30:00+01:00;63705;66100;63700;213;1154;3600;45253;6635;241;7004;-2315;880;1040;52;567;-1593;-2355;-3176;7080;2;31;180;0;2618;982;1;5740;740;524;234;359;284
France;Données temps réel;2022-01-08;08:45;2022-01-08T08:45:00+01:00;64100;66650;64100;212;1150;3640;45354;6784;288;7290;-2314;891;805;52;;;;;;1;31;180;0;2617;1024;1;5810;762;718;238;361;284
France;Données temps réel;2022-01-08;09:15;2022-01-08T09:15:00+01:00;65171;67850;65000;213;926;3690;45496;7390;494;7614;-1830;880;298;48;;;;;;2;31;180;0;2593;1097;1;5882;833;899;236;357;284
France;Données temps réel;2022-01-08;09:30;2022-01-08T09:30:00+01:00;65554;68500;65500;213;747;3592;45336;7726;708;7444;-859;886;-239;44;1093;-1659;-3183;-3200;7058;2;31;180;0;2590;1002;1;5922;772;750;239;365;284
France;Données temps réel;2022-01-08;10:45;2022-01-08T10:45:00+01:00;66310;68850;66600;213;718;3548;45307;8701;1876;7198;-133;876;-1994;41;;;;;;2;31;180;0;2583;965;1;5906;886;406;232;360;284
France;Données temps réel;2022-01-08;11:00;2022-01-08T11:00:00+01:00;66705;68700;66700;213;713;3551;45273;8894;2070;7314;-133;887;-2077;41;-522;-895;-3167;-3200;5910;2;31;180;0;2579;973;1;5890;1015;409;243;360;284
France;Données temps réel;2022-01-08;13:30;2022-01-08T13:30:00+01:00;67501;67800;67000;212;1111;3595;45036;12472;2647;7267;-506;871;-5204;45;-1834;-2099;-2868;-3200;5809;1;31;180;0;2576;1020;1;5653;1028;586;238;354;284
France;Données temps réel;2022-01-08;13:45;2022-01-08T13:45:00+01:00;66616;67300;66450;213;1139;3626;45188;12715;2417;6861;-1393;866;-5016;46;;;;;;2;31;180;0;2576;1050;1;5556;656;649;231;354;284
France;Données temps réel;2022-01-08;15:15;2022-01-08T15:15:00+01:00;63233;63450;63500;212;1196;3664;45424;12969;1327;6177;-2476;876;-6136;48;;;;;;1;31;180;0;2552;1112;1;5412;628;137;236;356;284
France;Données temps réel;2022-01-08;21:45;2022-01-08T21:45:00+01:00;62070;61300;60650;211;1163;2868;46206;13492;0;6240;-2303;859;-6666;43;;;;;;0;31;180;0;2557;311;1;5311;929;0;233;350;284
France;Données temps réel;2022-01-08;22:45;2022-01-08T22:45:00+01:00;64319;63400;62650;213;1160;2837;46255;12946;0;7772;-1409;873;-6328;42;;;;;;2;31;180;0;2517;320;1;5570;2202;0;239;351;284
France;Données temps réel;2022-01-09;00:00;2022-01-09T00:00:00+01:00;63000;62100;63200;213;1107;2831;45401;12908;0;5671;-1893;876;-4114;43;-1724;-1428;-2903;-3200;4302;2;31;180;0;2518;313;1;5372;299;0;235;354;284
France;Données temps réel;2022-01-09;01:00;2022-01-09T01:00:00+01:00;59323;58900;59400;202;754;2829;43792;13130;0;5972;-3126;873;-5103;39;-1648;74;-2643;-3200;2869;1;21;180;0;2507;323;1;5192;617;163;240;354;284
France;Données temps réel;2022-01-09;01:15;2022-01-09T01:15:00+01:00;59865;58850;59550;201;690;2834;43842;13111;0;5887;-3128;876;-4448;39;;;;;;0;21;180;0;2504;330;1;5146;741;0;243;355;284
France;Données temps réel;2022-01-09;01:30;2022-01-09T01:30:00+01:00;59314;58800;59700;203;679;2832;43976;12995;0;5666;-3124;880;-4793;39;-1648;74;-2643;-3200;2869;2;21;180;0;2507;326;1;5148;518;0;240;356;284
France;Données temps réel;2022-01-09;03:00;2022-01-09T03:00:00+01:00;55972;55200;56200;203;682;2819;42861;12248;0;5594;-3371;877;-5941;40;-1401;1641;-2413;-3200;-534;2;21;180;0;2508;311;1;5143;451;0;240;352;284
France;Données temps réel;2022-01-09;03:30;2022-01-09T03:30:00+01:00;55281;54100;55500;203;674;2812;42596;11986;0;5650;-3380;879;-6139;40;-1401;1641;-2413;-3200;-526;2;21;180;0;2506;307;1;5138;512;0;243;351;284
France;Données temps réel;2022-01-09;04:00;2022-01-09T04:00:00+01:00;54467;53000;54700;203;672;2846;42304;11664;0;5667;-3619;877;-6147;41;-1718;2171;-2375;-3200;-1560;2;21;180;0;2506;341;1;5139;528;0;242;352;284
France;Données temps réel;2022-01-09;08:30;2022-01-09T08:30:00+01:00;58319;57000;58300;202;668;2827;44519;8042;233;6204;-2741;876;-2511;41;-2014;2727;-3352;-3195;3456;1;21;180;0;2509;318;1;5314;888;2;239;353;284
France;Données temps réel;2022-01-09;09:45;2022-01-09T09:45:00+01:00;61673;60850;61600;203;818;2888;45245;6731;759;6498;-2513;876;168;43;;;;;;2;21;180;0;2547;341;1;5433;923;142;240;352;284
France;Données temps réel;2022-01-09;10:00;2022-01-09T10:00:00+01:00;62305;61700;62300;203;995;2912;45726;6656;916;6586;-2498;875;-66;45;-2014;2925;-2906;-3200;6410;2;21;180;0;2544;368;1;5477;963;146;235;354;284
France;Données temps réel;2022-01-09;10:15;2022-01-09T10:15:00+01:00;62841;62250;62800;203;1062;2905;45926;6502;1067;6540;-2430;876;190;46;;;;;;2;21;180;0;2537;368;1;5471;930;139;238;352;284
France;Données temps réel;2022-01-09;12:15;2022-01-09T12:15:00+01:00;67655;65900;67500;202;1168;3872;46358;5278;2034;7915;-1710;866;1672;52;;;;;;1;21;180;0;2544;1329;1;5668;1491;756;234;353;284
France;Données temps réel;2022-01-09;13:00;2022-01-09T13:00:00+01:00;67772;67700;69300;203;1139;4034;46460;4821;1898;9086;-1940;870;1201;52;-1926;3052;-2920;-3200;5746;2;21;180;0;2548;1487;1;5826;2841;419;232;352;284
France;Données temps réel;2022-01-09;15:30;2022-01-09T15:30:00+01:00;61078;59800;61200;203;1207;4771;47713;3385;797;5959;-1700;865;-2122;61;-1998;2854;-1939;-3193;1870;2;21;180;0;2514;2258;1;5609;349;1;235;344;284
France;Données temps réel;2022-01-09;18:00;2022-01-09T18:00:00+01:00;66283;65000;66400;202;1219;7156;48054;2506;179;10339;-20;863;-4215;69;-2014;3006;-2942;-2152;1638;1;21;180;0;2540;4616;1;6412;2527;1400;238;345;284
France;Données temps réel;2022-01-09;19:45;2022-01-09T19:45:00+01:00;68340;67350;68750;203;1245;7396;48221;2149;0;9931;-20;865;-1650;71;;;;;;2;21;180;0;2555;4841;1;6572;2211;1148;236;346;284
France;Données temps réel;2022-01-09;20:15;2022-01-09T20:15:00+01:00;67345;65900;67350;203;1253;7655;48224;2060;0;9192;-20;869;-2091;73;;;;;;2;21;180;0;2558;5097;1;6474;1682;1036;236;346;284
France;Données temps réel;2022-01-09;23:15;2022-01-09T23:15:00+01:00;64509;63600;64900;203;1149;7527;47594;1415;0;8639;-739;861;-2140;74;;;;;;2;21;180;0;2562;4965;1;6118;2144;377;231;346;284
France;Données temps réel;2022-01-10;03:45;2022-01-10T03:45:00+01:00;56931;55550;57050;213;755;5725;48399;1171;0;5865;-3265;865;-2797;63;;;;;;2;31;180;0;2577;3149;1;5484;381;0;237;344;284
France;Données temps réel;2022-01-10;04:00;2022-01-10T04:00:00+01:00;56866;55200;56800;212;759;5743;48155;1171;0;5959;-3303;844;-2674;64;-642;2699;-2074;-3014;258;1;31;180;0;2577;3166;1;5508;451;0;219;345;284
France;Données temps réel;2022-01-10;04:15;2022-01-10T04:15:00+01:00;57141;55350;56900;212;862;5714;48307;1189;0;6092;-3299;862;-2798;65;;;;;;1;31;180;0;2588;3127;1;5607;485;0;229;353;284
